INVDET_TXNDATE,INVDET_PROCODE,sale,qty
5/23/2023,1,29070,323
5/24/2023,1,180,2
5/25/2023,1,90,1
5/26/2023,1,990,11
5/30/2023,1,450,5
5/31/2023,1,180,2
6/1/2023,1,540,6
6/2/2023,1,1080,12
6/3/2023,1,450,5
6/5/2023,1,90,1
6/6/2023,1,360,4
6/7/2023,1,90,1
6/8/2023,1,810,9
6/10/2023,1,810,9
6/12/2023,1,900,10
6/14/2023,1,990,11
6/15/2023,1,90,1
6/16/2023,1,270,3
6/17/2023,1,180,2
6/19/2023,1,630,7
6/21/2023,1,180,2
6/22/2023,1,1620,18
6/23/2023,1,180,2
6/25/2023,1,90,1
6/26/2023,1,270,3
6/27/2023,1,270,3
6/28/2023,1,180,2
6/30/2023,1,180,2
7/1/2023,1,2160,24
7/3/2023,1,8820,98
7/4/2023,1,2610,29
7/5/2023,1,720,8
7/6/2023,1,1440,16
7/7/2023,1,1440,16
7/9/2023,1,810,9
7/10/2023,1,2070,23
7/12/2023,1,990,11
7/13/2023,1,90,1
7/15/2023,1,2160,24
7/17/2023,1,360,4
7/21/2023,1,685,8
7/22/2023,1,450,5
7/23/2023,1,180,2
7/24/2023,1,90,1
7/26/2023,1,1440,16
7/27/2023,1,1080,12
7/28/2023,1,180,2
7/29/2023,1,180,2
7/30/2023,1,1800,20
7/31/2023,1,1260,14
8/1/2023,1,90,1
8/3/2023,1,450,5
8/4/2023,1,1170,13
8/7/2023,1,4590,51
8/9/2023,1,630,7
8/10/2023,1,450,5
8/11/2023,1,1170,13
8/12/2023,1,1080,12
8/13/2023,1,0,0
8/14/2023,1,180,2
8/18/2023,1,8640,96
8/20/2023,1,360,4
8/21/2023,1,180,2
8/22/2023,1,270,3
8/23/2023,1,5040,56
8/25/2023,1,360,4
8/26/2023,1,1710,19
8/30/2023,1,1980,22
8/31/2023,1,90,1
9/2/2023,1,90,1
9/4/2023,1,180,2
9/5/2023,1,450,5
9/6/2023,1,270,3
9/8/2023,1,90,1
9/10/2023,1,90,1
9/12/2023,1,1350,15
9/13/2023,1,90,1
9/14/2023,1,180,2
9/20/2023,1,450,5
9/21/2023,1,2340,26
9/22/2023,1,270,3
9/24/2023,1,360,4
9/26/2023,1,1080,12
9/29/2023,1,90,1
9/30/2023,1,4320,48
10/2/2023,1,450,5
10/4/2023,1,720,8
10/5/2023,1,720,8
10/6/2023,1,630,7
10/9/2023,1,360,4
10/10/2023,1,90,1
10/12/2023,1,90,1
10/13/2023,1,270,3
10/15/2023,1,450,5
10/17/2023,1,720,8
10/21/2023,1,540,6
10/24/2023,1,810,9
10/26/2023,1,270,3
10/27/2023,1,630,7
10/28/2023,1,360,4
11/2/2023,1,1080,12
11/4/2023,1,180,2
11/5/2023,1,90,1
11/6/2023,1,2970,33
11/10/2023,1,1080,12
11/12/2023,1,540,6
11/14/2023,1,360,4
11/15/2023,1,900,10
11/17/2023,1,900,10
11/18/2023,1,360,4
11/20/2023,1,990,11
11/22/2023,1,90,1
11/23/2023,1,2340,26
11/26/2023,1,810,10
11/27/2023,1,450,5
11/28/2023,1,1080,12
11/29/2023,1,630,7
11/30/2023,1,2160,24
12/2/2023,1,270,3
12/3/2023,1,270,3
12/4/2023,1,360,4
12/8/2023,1,4500,50
12/10/2023,1,630,7
12/11/2023,1,90,1
12/13/2023,1,270,3
12/14/2023,1,990,11
12/17/2023,1,360,4
12/18/2023,1,630,7
12/19/2023,1,90,1
12/20/2023,1,540,6
12/21/2023,1,900,10
12/22/2023,1,270,3
12/24/2023,1,450,5
12/28/2023,1,1440,16
12/30/2023,1,450,5
12/31/2023,1,1980,22
1/4/2024,1,720,8
1/5/2024,1,720,8
1/6/2024,1,360,4
1/8/2024,1,450,5
1/9/2024,1,450,5
1/12/2024,1,2160,24
1/15/2024,1,90,1
1/16/2024,1,360,4
1/17/2024,1,360,4
1/19/2024,1,180,2
1/20/2024,1,540,6
1/21/2024,1,180,2
1/22/2024,1,450,5
1/23/2024,1,540,6
1/24/2024,1,90,1
1/25/2024,1,540,6
1/28/2024,1,180,2
1/31/2024,1,360,4
2/3/2024,1,90,1
2/4/2024,1,1170,13
2/6/2024,1,0,0
2/9/2024,1,990,11
2/11/2024,1,630,7
2/12/2024,1,180,2
2/13/2024,1,1800,20
2/14/2024,1,540,6
2/16/2024,1,1350,15
2/17/2024,1,900,10
2/18/2024,1,90,1
2/20/2024,1,180,2
2/24/2024,1,90,1
2/25/2024,1,1170,13
3/2/2024,1,540,6
3/7/2024,1,90,1
3/9/2024,1,90,1
3/13/2024,1,180,2
4/3/2024,1,90,1
4/4/2024,1,270,3
5/2/2024,1,324,4
5/4/2024,1,81,1
5/9/2024,1,162,2
9/3/2024,1,1728,24
9/4/2024,1,1350,15
9/5/2024,1,720,10
9/6/2024,1,216,3
9/8/2024,1,360,5
9/10/2024,1,1116,13
9/11/2024,1,1080,12
9/12/2024,1,72,1
9/13/2024,1,1080,12
9/17/2024,1,72,1
9/18/2024,1,792,11
9/19/2024,1,900,10
9/20/2024,1,792,11
9/21/2024,1,72,1
9/22/2024,1,1368,19
9/23/2024,1,810,9
9/24/2024,1,1008,14
9/25/2024,1,864,11
9/26/2024,1,360,4
9/28/2024,1,1512,21
9/29/2024,1,4464,62
9/30/2024,1,360,5
10/1/2024,1,2160,30
10/4/2024,1,1620,20
10/5/2024,1,288,4
10/6/2024,1,1872,26
10/7/2024,1,288,4
10/8/2024,1,288,4
10/9/2024,1,1494,17
10/10/2024,1,864,12
10/11/2024,1,1296,18
10/13/2024,1,720,10
10/15/2024,1,648,9
10/16/2024,1,720,10
10/18/2024,1,1440,20
10/19/2024,1,288,4
10/20/2024,1,936,13
10/21/2024,1,72,1
10/23/2024,1,432,6
10/24/2024,1,1080,15
10/25/2024,1,216,3
10/26/2024,1,288,4
10/27/2024,1,792,11
10/28/2024,1,90,1
10/29/2024,1,1944,27
10/30/2024,1,2322,26
10/31/2024,1,1224,17
11/1/2024,1,7416,147
11/2/2024,1,216,3
11/3/2024,1,720,10
11/4/2024,1,1152,16
11/5/2024,1,432,6
11/6/2024,1,216,3
11/7/2024,1,216,3
11/8/2024,1,1584,22
11/9/2024,1,144,2
11/11/2024,1,9500,106
11/12/2024,1,4392,61
11/15/2024,1,144,2
11/16/2024,1,504,7
11/17/2024,1,288,4
11/18/2024,1,720,10
11/19/2024,1,1584,22
11/20/2024,1,6648,128
11/21/2024,1,1080,15
11/22/2024,1,1224,17
11/23/2024,1,216,3
11/24/2024,1,936,12
11/26/2024,1,936,13
11/27/2024,1,1800,25
11/28/2024,1,144,2
11/29/2024,1,10512,146
11/30/2024,1,288,4
12/1/2024,1,648,9
12/2/2024,1,216,3
12/3/2024,1,1980,25
12/4/2024,1,5832,69
12/5/2024,1,-2640,0
12/6/2024,1,-3880,0
12/7/2024,1,936,13
12/8/2024,1,4104,57
12/9/2024,1,6432,126
12/10/2024,1,576,8
12/11/2024,1,288,4
12/12/2024,1,288,4
12/13/2024,1,9192,179
12/14/2024,1,1152,16
12/15/2024,1,432,6
12/16/2024,1,1044,12
12/17/2024,1,13500,150
12/19/2024,1,1152,13
12/20/2024,1,1440,20
12/21/2024,1,1080,15
12/22/2024,1,1008,14
12/23/2024,1,1440,20
12/24/2024,1,13782,261
12/25/2024,1,432,6
12/26/2024,1,144,2
12/27/2024,1,144,2
12/28/2024,1,1656,23
12/29/2024,1,4824,67
12/31/2024,1,12312,237
1/2/2025,1,900,10
1/3/2025,1,270,3
1/4/2025,1,3000.24,78
1/5/2025,1,540,6
1/6/2025,1,9849.6,288
1/7/2025,1,2880,32
1/8/2025,1,900,10
1/9/2025,1,576,8
1/10/2025,1,2232,31
1/11/2025,1,432,6
1/12/2025,1,792,11
1/14/2025,1,288,4
1/15/2025,1,1152,16
1/16/2025,1,216,3
1/17/2025,1,8400,168
1/18/2025,1,72,1
1/19/2025,1,576,8
1/20/2025,1,6632.64,193
1/21/2025,1,216,3
1/22/2025,1,1548,19
1/23/2025,1,576,8
1/24/2025,1,72,1
1/26/2025,1,900,10
1/27/2025,1,10194,199
1/28/2025,1,972,11
1/29/2025,1,360,5
1/30/2025,1,162,2
1/31/2025,1,72,1
2/1/2025,1,630,7
2/2/2025,1,180,2
2/3/2025,1,360,4
2/4/2025,1,1620,18
2/5/2025,1,1530,17
2/6/2025,1,10200,188
2/7/2025,1,3780,42
2/8/2025,1,720,8
2/9/2025,1,270,3
2/10/2025,1,1290,25
2/11/2025,1,1170,13
2/12/2025,1,900,10
2/13/2025,1,8790,151
2/14/2025,1,1080,12
2/15/2025,1,8060,90
2/16/2025,1,1080,12
2/17/2025,1,-7940,-166
2/18/2025,1,6090,121
2/19/2025,1,2880,32
2/20/2025,1,1170,13
2/21/2025,1,23625.83,342
2/22/2025,1,450,5
2/24/2025,1,900,10
2/25/2025,1,-6230,-95
2/26/2025,1,565.02,10
2/27/2025,1,1440,16
2/28/2025,1,17220,368
3/3/2025,1,8180.16,1030
3/5/2025,1,81300,2144
3/6/2025,1,1710,19
3/7/2025,1,14250,265
3/8/2025,1,19890,529
3/9/2025,1,6540,146
3/10/2025,1,540,6
3/11/2025,1,-2700,-30
3/12/2025,1,1080,372
3/13/2025,1,2916,33
3/14/2025,1,360,5
3/16/2025,1,1080,135
3/17/2025,1,810,9
3/18/2025,1,-7164,-203
3/19/2025,1,14400,385
3/20/2025,1,-25524,-1124
3/21/2025,1,57392.64,1274
3/22/2025,1,720,10
3/23/2025,1,1584,22
3/24/2025,1,1512,21
3/25/2025,1,1152,16
3/26/2025,1,1098,13
3/27/2025,1,504,7
3/28/2025,1,1476,18
3/30/2025,1,576,8
3/31/2025,1,4872,59
4/1/2025,1,17611.2,403
4/2/2025,1,288,4
4/3/2025,1,11904,224
4/4/2025,1,21873.6,515
4/5/2025,1,504,7
4/6/2025,1,612,8
4/7/2025,1,1260,14
4/8/2025,1,936,13
4/9/2025,1,504,7
4/10/2025,1,8616,171
4/12/2025,1,720,10
4/13/2025,1,540,6
4/17/2025,1,864,14
4/18/2025,1,6048,108
4/20/2025,1,392,7
4/21/2025,1,1820,30
4/22/2025,1,2296,37
4/23/2025,1,462,8
4/24/2025,1,8512,170
4/25/2025,1,742,13
4/26/2025,1,168,3
4/27/2025,1,728,13
4/28/2025,1,9800,157
4/29/2025,1,1372,24
4/30/2025,1,2408,43
5/1/2025,1,952,17
5/2/2025,1,672,12
5/3/2025,1,56,1
5/4/2025,1,168,3
5/5/2025,1,1008,18
5/6/2025,1,2142,36
5/7/2025,1,8400,168
5/8/2025,1,392,6
5/9/2025,1,392,6
5/10/2025,1,2100,35
5/11/2025,1,1680,30
5/13/2025,1,2240,40
5/14/2025,1,1008,18
5/15/2025,1,2142,32
5/16/2025,1,8512,170
5/17/2025,1,56,1
5/18/2025,1,280,5
5/19/2025,1,1708,28
5/20/2025,1,1442,24
5/21/2025,1,784,14
5/22/2025,1,1176,17
5/23/2025,1,2940,42
5/24/2025,1,5390,77
5/25/2025,1,1400,20
5/26/2025,1,1400,20
5/27/2025,1,2100,30
5/28/2025,1,6140,122
5/29/2025,1,700,10
5/30/2025,1,2660,38
5/31/2025,1,1470,21
6/1/2025,1,2870,41
6/2/2025,1,840,12
6/3/2025,1,2380,34
6/4/2025,1,7070,101
6/5/2025,1,3570,51
6/6/2025,1,12320,224
6/7/2025,1,4830,69
6/8/2025,1,560,8
6/9/2025,1,140,2
6/10/2025,1,9520,136
6/11/2025,1,8470,169
6/12/2025,1,1060,12
5/24/2023,2,980,7
5/25/2023,2,700,5
5/26/2023,2,140,1
5/28/2023,2,420,3
5/29/2023,2,280,2
5/31/2023,2,560,4
6/1/2023,2,560,4
6/3/2023,2,560,4
6/4/2023,2,420,3
6/5/2023,2,140,1
6/6/2023,2,700,5
6/7/2023,2,280,2
6/9/2023,2,520,4
6/10/2023,2,260,2
6/11/2023,2,390,3
6/12/2023,2,260,2
6/13/2023,2,390,3
6/14/2023,2,1300,10
6/17/2023,2,130,1
6/18/2023,2,520,4
6/20/2023,2,390,3
6/22/2023,2,520,4
6/28/2023,2,260,2
6/30/2023,2,650,5
7/3/2023,2,1430,11
7/4/2023,2,1560,12
7/5/2023,2,780,6
7/6/2023,2,520,4
7/7/2023,2,130,1
7/8/2023,2,130,1
7/9/2023,2,260,2
7/10/2023,2,1300,10
7/13/2023,2,1560,12
7/14/2023,2,780,6
7/16/2023,2,520,4
7/17/2023,2,390,3
7/20/2023,2,1300,10
7/24/2023,2,390,3
7/26/2023,2,390,3
7/28/2023,2,130,1
7/29/2023,2,780,6
7/31/2023,2,130,1
8/1/2023,2,910,7
8/2/2023,2,650,5
8/3/2023,2,260,2
8/4/2023,2,130,1
8/5/2023,2,1170,9
8/7/2023,2,390,3
8/9/2023,2,910,7
8/10/2023,2,780,6
8/11/2023,2,130,1
8/13/2023,2,650,5
8/15/2023,2,130,1
8/16/2023,2,1300,10
8/17/2023,2,780,6
8/19/2023,2,520,4
8/20/2023,2,520,4
8/21/2023,2,260,2
8/22/2023,2,1430,11
8/23/2023,2,910,7
8/24/2023,2,130,1
8/25/2023,2,130,1
8/26/2023,2,130,1
8/29/2023,2,130,1
8/30/2023,2,260,2
9/5/2023,2,390,3
9/6/2023,2,390,3
9/7/2023,2,1560,12
9/8/2023,2,390,3
9/10/2023,2,1300,10
9/11/2023,2,1560,12
9/12/2023,2,260,2
9/14/2023,2,390,3
9/16/2023,2,910,7
9/18/2023,2,390,3
9/19/2023,2,260,2
9/20/2023,2,1690,13
9/21/2023,2,130,1
9/22/2023,2,130,1
9/23/2023,2,780,6
9/24/2023,2,390,3
9/25/2023,2,130,1
9/26/2023,2,130,1
9/27/2023,2,650,5
9/28/2023,2,260,2
9/29/2023,2,130,1
9/30/2023,2,260,2
10/1/2023,2,1560,12
10/4/2023,2,2340,18
10/6/2023,2,390,3
10/9/2023,2,520,4
10/10/2023,2,650,5
10/14/2023,2,520,4
10/15/2023,2,390,3
10/16/2023,2,130,1
10/19/2023,2,1040,8
10/21/2023,2,520,4
10/23/2023,2,260,2
10/26/2023,2,260,2
10/27/2023,2,520,4
10/29/2023,2,130,1
10/30/2023,2,520,4
10/31/2023,2,1560,12
11/2/2023,2,130,1
11/3/2023,2,390,3
11/11/2023,2,260,2
11/14/2023,2,130,1
11/15/2023,2,780,6
11/16/2023,2,260,2
11/18/2023,2,260,2
11/24/2023,2,468,4
11/25/2023,2,130,1
11/30/2023,2,1040,8
12/1/2023,2,260,2
12/6/2023,2,390,3
12/7/2023,2,520,4
12/8/2023,2,520,4
12/9/2023,2,624,5
12/12/2023,2,520,4
12/13/2023,2,130,1
12/14/2023,2,390,3
12/16/2023,2,910,7
12/19/2023,2,390,3
12/22/2023,2,520,4
12/24/2023,2,130,1
12/25/2023,2,130,1
12/26/2023,2,520,4
12/27/2023,2,130,1
12/30/2023,2,260,2
12/31/2023,2,520,4
1/1/2024,2,130,1
1/2/2024,2,650,5
1/3/2024,2,130,1
1/4/2024,2,910,7
1/6/2024,2,520,4
1/14/2024,2,390,3
1/15/2024,2,780,6
1/17/2024,2,130,1
1/18/2024,2,2470,19
1/19/2024,2,260,2
1/23/2024,2,260,2
1/24/2024,2,390,3
1/26/2024,2,130,1
2/7/2024,2,130,1
2/20/2024,2,130,1
9/3/2024,2,1560,15
9/5/2024,2,208,2
9/6/2024,2,1248,12
9/7/2024,2,312,3
9/10/2024,2,520,5
9/12/2024,2,520,5
9/13/2024,2,104,1
9/14/2024,2,104,1
9/15/2024,2,1040,10
9/16/2024,2,208,2
9/18/2024,2,1144,11
9/19/2024,2,1352,13
9/20/2024,2,208,2
9/21/2024,2,416,4
9/23/2024,2,104,1
9/25/2024,2,728,6
9/26/2024,2,936,8
9/28/2024,2,832,8
9/29/2024,2,832,8
9/30/2024,2,208,2
10/1/2024,2,130,1
10/2/2024,2,234,2
10/4/2024,2,338,3
10/6/2024,2,208,2
10/10/2024,2,208,2
10/11/2024,2,312,3
10/12/2024,2,104,1
10/13/2024,2,728,7
10/14/2024,2,104,1
10/15/2024,2,650,6
10/16/2024,2,312,3
10/17/2024,2,2392,23
10/18/2024,2,104,1
10/19/2024,2,104,1
10/20/2024,2,208,2
10/21/2024,2,208,2
10/22/2024,2,416,4
10/23/2024,2,104,1
10/24/2024,2,728,7
10/25/2024,2,728,7
10/26/2024,2,624,6
10/27/2024,2,1456,14
10/28/2024,2,728,7
10/29/2024,2,104,1
10/30/2024,2,104,1
10/31/2024,2,624,6
11/1/2024,2,7558,107
11/2/2024,2,104,1
11/3/2024,2,1768,17
11/4/2024,2,624,6
11/6/2024,2,208,2
11/7/2024,2,442,4
11/8/2024,2,832,8
11/9/2024,2,208,2
11/11/2024,2,13719,106
11/12/2024,2,728,7
11/14/2024,2,416,4
11/15/2024,2,1456,14
11/16/2024,2,832,8
11/17/2024,2,104,1
11/18/2024,2,416,4
11/19/2024,2,936,9
11/20/2024,2,7454,106
11/21/2024,2,1248,12
11/23/2024,2,104,1
11/25/2024,2,728,7
11/27/2024,2,312,3
11/29/2024,2,11128,107
11/30/2024,2,312,3
12/1/2024,2,104,1
12/2/2024,2,208,2
12/3/2024,2,1560,15
12/4/2024,2,520,5
12/5/2024,2,-2946,6
12/6/2024,2,-6023,3
12/7/2024,2,728,7
12/8/2024,2,520,5
12/9/2024,2,104,1
12/10/2024,2,14170,110
12/11/2024,2,1442,14
12/12/2024,2,104,1
12/13/2024,2,7558,107
12/14/2024,2,312,3
12/15/2024,2,624,6
12/16/2024,2,2080,20
12/18/2024,2,624,6
12/20/2024,2,1664,16
12/21/2024,2,520,5
12/22/2024,2,1456,14
12/23/2024,2,1664,16
12/24/2024,2,7454,106
12/25/2024,2,1664,16
12/26/2024,2,312,3
12/27/2024,2,2080,20
12/29/2024,2,832,8
12/30/2024,2,416,4
12/31/2024,2,8702,118
1/2/2025,2,910,7
1/3/2025,2,2745,30
1/4/2025,2,260,2
1/5/2025,2,260,2
1/6/2025,2,780,6
1/7/2025,2,260,2
1/8/2025,2,1170,9
1/9/2025,2,10916,154
1/10/2025,2,936,9
1/11/2025,2,416,4
1/12/2025,2,520,5
1/13/2025,2,728,7
1/14/2025,2,728,7
1/15/2025,2,104,1
1/17/2025,2,7766,109
1/18/2025,2,1040,10
1/19/2025,2,312,3
1/20/2025,2,1274,12
1/21/2025,2,624,6
1/23/2025,2,1820,17
1/24/2025,2,1144,11
1/25/2025,2,728,7
1/26/2025,2,104,1
1/27/2025,2,8816,124
1/28/2025,2,104,1
1/29/2025,2,1248,12
1/30/2025,2,442,4
1/31/2025,2,312,3
2/1/2025,2,910,7
2/2/2025,2,3640,28
2/3/2025,2,2600,20
2/4/2025,2,780,6
2/5/2025,2,3640,28
2/6/2025,2,910,7
2/7/2025,2,4030,31
2/8/2025,2,1820,14
2/9/2025,2,520,4
2/10/2025,2,2880,36
2/11/2025,2,520,4
2/12/2025,2,260,2
2/13/2025,2,6110,83
2/14/2025,2,260,2
2/16/2025,2,520,4
2/17/2025,2,-4340,-62
2/18/2025,2,6430,91
2/19/2025,2,910,7
2/20/2025,2,260,2
2/21/2025,2,19220,266
2/23/2025,2,390,3
2/24/2025,2,130,1
2/25/2025,2,2780,20
2/26/2025,2,910,7
2/28/2025,2,130,1
3/1/2025,2,130,1
3/3/2025,2,910,7
3/5/2025,2,4680,36
3/6/2025,2,910,7
3/7/2025,2,10500,150
3/8/2025,2,390,3
3/9/2025,2,780,6
3/10/2025,2,780,6
3/11/2025,2,-2990,-23
3/12/2025,2,5200,40
3/13/2025,2,104,1
3/14/2025,2,312,3
3/15/2025,2,312,3
3/16/2025,2,728,7
3/17/2025,2,1170,11
3/18/2025,2,16166,229
3/19/2025,2,-520,-4
3/20/2025,2,832,8
3/21/2025,2,1144,11
3/22/2025,2,520,5
3/23/2025,2,1768,17
3/24/2025,2,1144,11
3/25/2025,2,416,4
3/26/2025,2,1482,14
3/27/2025,2,208,2
3/28/2025,2,1352,13
3/29/2025,2,520,5
3/30/2025,2,624,6
4/1/2025,2,1144,11
4/2/2025,2,416,4
4/3/2025,2,13714,176
4/4/2025,2,416,4
4/5/2025,2,624,6
4/6/2025,2,858,8
4/7/2025,2,1976,19
4/8/2025,2,1352,13
4/9/2025,2,312,3
4/10/2025,2,7870,110
4/11/2025,2,416,4
4/12/2025,2,2184,21
4/13/2025,2,1040,10
4/14/2025,2,312,3
4/15/2025,2,208,2
4/16/2025,2,312,3
4/17/2025,2,936,9
4/18/2025,2,400,5
4/19/2025,2,480,6
4/20/2025,2,320,4
4/21/2025,2,1520,19
4/22/2025,2,480,6
4/23/2025,2,400,5
4/24/2025,2,12280,171
4/25/2025,2,820,10
4/26/2025,2,1920,24
4/27/2025,2,640,8
4/28/2025,2,1920,24
4/29/2025,2,480,6
4/30/2025,2,2320,29
5/1/2025,2,2320,29
5/2/2025,2,2160,27
5/3/2025,2,1200,15
5/4/2025,2,2720,34
5/5/2025,2,3600,45
5/6/2025,2,3120,39
5/7/2025,2,12340,173
5/8/2025,2,3520,44
5/9/2025,2,640,8
5/10/2025,2,4020,50
5/11/2025,2,4640,58
5/12/2025,2,3120,39
5/13/2025,2,1600,20
5/14/2025,2,3520,44
5/15/2025,2,4160,52
5/16/2025,2,13460,187
5/17/2025,2,2760,34
5/18/2025,2,4980,62
5/19/2025,2,2660,33
5/20/2025,2,3880,47
5/21/2025,2,4920,60
5/22/2025,2,3660,39
5/23/2025,2,8300,83
5/24/2025,2,3000,30
5/25/2025,2,10500,105
5/26/2025,2,5900,59
5/27/2025,2,2500,25
5/28/2025,2,11050,142
5/29/2025,2,900,9
5/30/2025,2,1700,17
5/31/2025,2,1700,17
6/1/2025,2,2700,27
6/2/2025,2,3300,33
6/3/2025,2,1500,15
6/4/2025,2,1000,10
6/5/2025,2,600,6
6/6/2025,2,3940,55
5/24/2023,3,160,1
5/25/2023,3,320,2
5/26/2023,3,320,2
5/29/2023,3,160,1
5/30/2023,3,640,4
5/31/2023,3,160,1
6/1/2023,3,160,1
6/6/2023,3,480,3
6/7/2023,3,800,5
6/9/2023,3,480,3
6/19/2023,3,320,2
6/21/2023,3,640,4
6/22/2023,3,160,1
6/23/2023,3,1760,11
6/24/2023,3,320,2
6/26/2023,3,1280,8
6/29/2023,3,160,1
7/1/2023,3,1280,8
7/4/2023,3,160,1
7/6/2023,3,1280,8
7/9/2023,3,160,1
7/10/2023,3,320,2
7/12/2023,3,160,1
